Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,Referee,Attendance
24157,FC Lahti,4.11.2020 18.30.00,Veikkausliiga,2-1,2,Lahden kisapuisto,False,Ville Nevalainen,0
22157,RoPS,22.10.2020 18.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,Toni Pohjoismäki,841
11056,HJK,18.10.2020 16.00.00,Veikkausliiga,3-0,2,Bolt Arena,False,Antti Munukka,2840
11055,Ilves,15.10.2020 18.30.00,Veikkausliiga,1-2,2,Bolt Arena,True,Juuso Mikkola,1247
21156,KuPS,8.10.2020 18.30.00,Veikkausliiga,3-2,2,Savon Sanomat Areena,False,Ville Nevalainen,1578
9067,FC Honka,2.10.2020 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Ville Nevalainen,1517
9066,SJK,28.9.2020 18.30.00,Veikkausliiga,3-2,2,OmaSp Stadion,False,Petri Viljanen,2287
9064,IFK Mariehamn,19.9.2020 17.00.00,Veikkausliiga,2-2,0,Bolt Arena,True,Oliver Reitala,1425
9063,FC Inter,14.9.2020 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Antti Munukka,1502
9062,HJK,10.9.2020 18.30.00,Veikkausliiga,4-3,1,Bolt Arena,True,Mattias Gestranius,2900
11054,FC Honka,1.9.2020 18.30.00,Veikkausliiga,0-1,1,Tapiolan urheilupuisto,False,Oskari Hämäläinen,1446
9059,TPS,26.8.2020 18.30.00,Veikkausliiga,1-0,2,Veritas Stadion,False,Dennis Antamo,3027
12054,Haka,23.8.2020 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Toni Pohjoismäki,1672
11053,FC Inter,14.8.2020 18.30.00,Veikkausliiga,3-2,2,Veritas Stadion,False,Petri Viljanen,1662
12053,TPS,10.8.2020 18.30.00,Veikkausliiga,2-0,1,Bolt Arena,True,Mohammad Al-Emara,1762
9058,Haka,5.8.2020 18.30.00,Veikkausliiga,0-2,1,Tehtaan kenttä,False,Dennis Antamo,1575
9057,Ilves,1.8.2020 17.00.00,Veikkausliiga,2-2,0,Tammelan Stadion,False,Jari Järvinen,2384
9056,IFK Mariehamn,26.7.2020 18.30.00,Veikkausliiga,0-3,1,Wiklöf Holding Arena,False,Petri Viljanen,1000
16148,SJK,22.7.2020 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Oskari Hämäläinen,1721
16147,FC Lahti,18.7.2020 17.00.00,Veikkausliiga,0-3,2,Bolt Arena,True,Mattias Gestranius,1837
16145,RoPS,8.7.2020 18.30.00,Veikkausliiga,0-1,1,Rovaniemen keskuskenttä,False,Mohammad Al-Emara,1397
16144,KuPS,1.7.2020 18.30.00,Veikkausliiga,0-3,2,Bolt Arena,True,Antti Munukka,1854
6041,RoPS,19.10.2019 15.00.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,,1540
6040,VPS,6.10.2019 16.00.00,Veikkausliiga,2-3,1,Elisa Stadion,False,,1845
6039,FC Lahti,28.9.2019 14.00.00,Veikkausliiga,2-2,0,Lahden kisapuisto,False,,1631
6038,SJK,21.9.2019 18.00.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,,753
6037,KPV,13.9.2019 18.30.00,Veikkausliiga,3-1,1,Telia 5G Areena,True,,1525
6036,VPS,31.8.2019 17.00.00,Veikkausliiga,3-2,2,Elisa Stadion,False,,1752
6035,Ilves,27.8.2019 18.30.00,Veikkausliiga,3-1,2,Tammelan Stadion,False,,5004
6034,Ilves,23.8.2019 18.30.00,Veikkausliiga,2-2,0,Telia 5G Areena,True,,2085
6033,FC Inter,16.8.2019 18.30.00,Veikkausliiga,3-2,2,Veritas Stadion,False,,3644
6032,KPV,9.8.2019 18.30.00,Veikkausliiga,3-2,1,Telia 5G Areena,True,,2026
6031,KuPS,4.8.2019 17.00.00,Veikkausliiga,1-1,0,Savon Sanomat Areena,False,,2029
6030,IFK Mariehamn,28.7.2019 17.00.00,Veikkausliiga,1-3,1,Wiklöf Holding Arena,False,,1403
6029,RoPS,21.7.2019 17.00.00,Veikkausliiga,1-0,1,Telia 5G Areena,True,,2103
6028,FC Honka,13.7.2019 13.00.00,Veikkausliiga,3-0,2,Tapiolan urheilupuisto,False,,3512
6027,HJK,4.7.2019 18.30.00,Veikkausliiga,0-2,2,Telia 5G Areena,True,,10256
6026,FC Lahti,30.6.2019 18.30.00,Veikkausliiga,0-0,0,Lahden kisapuisto,False,,2784
6025,SJK,18.6.2019 18.30.00,Veikkausliiga,1-0,1,Telia 5G Areena,True,,1879
6024,VPS,31.5.2019 18.30.00,Veikkausliiga,2-1,1,Telia 5G Areena,True,,1670
6023,FC Inter,25.5.2019 17.00.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,,1627
6022,KPV,20.5.2019 18.30.00,Veikkausliiga,1-1,0,Kokkolan keskuskenttä,False,,1530
6021,KuPS,12.5.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,,1627
6020,IFK Mariehamn,8.5.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,True,,1603
6019,RoPS,3.5.2019 18.30.00,Veikkausliiga,1-0,2,Rovaniemen keskuskenttä,False,,1026
6018,FC Honka,29.4.2019 18.30.00,Veikkausliiga,2-0,1,Telia 5G Areena,True,,1901
6017,HJK,23.4.2019 18.30.00,Veikkausliiga,1-1,0,Telia 5G Areena,False,,10251
6016,FC Lahti,15.4.2019 18.30.00,Veikkausliiga,0-1,2,Telia 5G Areena,True,,1573
6015,SJK,6.4.2019 15.00.00,Veikkausliiga,1-0,2,OmaSp Stadion,False,,2269
18165,FC Lahti,28.10.2017 14.00.00,Veikkausliiga,2-1,2,Lahden kisapuisto,False,,2568
18164,SJK,20.10.2017 18.30.00,Veikkausliiga,2-2,0,Bolt Arena,True,,2563
18163,FC Inter,16.10.2017 18.30.00,Veikkausliiga,4-1,2,Veritas Stadion,False,,1442
18162,PS Kemi,12.10.2017 18.30.00,Veikkausliiga,4-0,1,Bolt Arena,True,,2427
18161,VPS,29.9.2017 18.30.00,Veikkausliiga,1-2,1,Elisa Stadion,False,,1789
18160,KuPS,24.9.2017 18.30.00,Veikkausliiga,3-2,2,Savon Sanomat Areena,False,,3188
18159,JJK,15.9.2017 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,,2493
18158,HJK,12.9.2017 18.30.00,Veikkausliiga,2-1,2,Bolt Arena,False,,8567
18157,IFK Mariehamn,8.9.2017 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,,2317
18156,Ilves,26.8.2017 17.00.00,Veikkausliiga,2-1,2,Tammelan Stadion,False,,2796
18155,RoPS,19.8.2017 17.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,,4705
18154,Ilves,14.8.2017 18.30.00,Veikkausliiga,4-3,2,Tammelan Stadion,False,,3620
18153,VPS,9.8.2017 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,,2414
18152,FC Inter,4.8.2017 18.30.00,Veikkausliiga,3-0,2,Veritas Stadion,False,,2311
18151,HJK,31.7.2017 18.30.00,Veikkausliiga,2-0,2,Bolt Arena,False,,10500
18150,IFK Mariehamn,22.7.2017 16.00.00,Veikkausliiga,1-1,0,Wiklöf Holding Arena,False,,1809
18149,KuPS,17.7.2017 18.30.00,Veikkausliiga,1-4,2,Bolt Arena,True,,2617
17165,RoPS,8.7.2017 17.00.00,Veikkausliiga,2-2,0,Rovaniemen keskuskenttä,False,,2863
17163,FC Lahti,27.6.2017 18.30.00,Veikkausliiga,4-1,2,Lahden kisapuisto,False,,2847
17162,JJK,21.6.2017 18.30.00,Veikkausliiga,0-3,1,Harjun stadion,False,,1835
17161,PS Kemi,17.6.2017 15.00.00,Veikkausliiga,0-2,2,Bolt Arena,True,,2546
17160,SJK,14.6.2017 18.30.00,Veikkausliiga,0-2,2,Bolt Arena,True,,3721
17159,Ilves,4.6.2017 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,,2302
