FirstName,LastName,Games,Goals,Assists,YellowCards,RedCards,PlayedMinutes,StartingXI,SubstitutedIn,OnTheBench
Pekka,Sihvola,89,27,5,6,0,6505,71,18,22
Juho,Mäkelä,57,14,4,5,0,3349,37,20,26
Ville,Salmikivi,49,12,1,2,0,2771,28,21,29
,Tiquinho,34,12,7,6,0,2523,30,4,4
Luis,Henrique,21,9,4,6,0,1525,16,5,5
Mikael,Forssell,26,8,1,0,0,1546,17,9,15
Jani,Bäckman,84,6,6,24,2,5272,58,26,41
Jukka,Halme,86,6,4,23,1,6659,76,10,15
Sakari,Tukiainen,20,6,0,2,0,1044,13,7,7
Esa,Terävä,68,5,2,3,0,4341,52,16,29
Jabar,Sharza,18,4,1,3,0,1136,12,6,7
Otto-Pekka,Jurvainen,48,4,0,4,0,3179,34,14,49
Xhevdet,Gela,63,4,3,12,0,5388,60,3,10
Aleksi,Ristola,34,4,1,5,0,1828,20,14,15
Joni,Korhonen,59,4,3,1,0,4553,50,9,13
Joel,Mattsson,30,4,1,3,0,2424,27,3,4
Pauli,Kuusijärvi,59,3,0,9,1,4955,56,3,9
Eero,Peltonen,40,3,1,1,0,2707,30,10,16
Sakari,Mattila,8,3,0,1,0,584,7,1,1
Jakob,Dunsby,12,3,0,3,0,892,11,1,3
Tommi,Vesala,60,3,1,14,0,5083,57,3,7
Nnaemeka,Anyamele,70,2,7,7,1,4728,51,19,36
Tuomas,Aho,52,2,0,6,0,4391,49,3,12
Kastriot,Kastrati,13,2,0,0,0,355,3,10,16
Matias,Hänninen,88,2,3,13,0,6467,70,18,51
Adama,Fofana,7,1,1,1,0,346,5,2,2
Jesse,Ahonen,11,1,0,1,0,479,6,5,19
Own,Goal,0,1,0,0,0,0,0,0,1
Tino,Palmasto,3,1,0,1,0,86,0,3,6
Juho,Pirttijoki,25,1,0,1,0,2250,25,0,0
Youness,Rahimi,24,1,1,0,0,1553,16,8,10
Fredrik,Lassas,61,1,1,11,0,3741,43,18,29
,Vitinho,3,1,0,1,0,108,1,2,3
Sauli,Väisänen,6,1,0,1,0,540,6,0,1
Hassan,Sesay,20,1,1,4,0,1719,20,0,4
Jukka,Sinisalo,33,1,1,6,0,2508,28,5,25
Kalle,Sotka,3,0,0,1,0,120,2,1,8
Ville,Taulo,19,0,0,3,0,924,13,6,8
Arvi,Singa-Dembo,0,0,0,0,0,0,0,0,0
Mauro,Severino,0,0,0,0,0,0,0,0,0
Riku,Selander,29,0,0,9,0,2387,27,2,6
Mika,Väyrynen,40,0,4,7,0,3455,39,1,2
Antti,Ulmanen,1,0,0,0,0,1,0,1,8
Jussi,Tolonen,0,0,0,0,0,0,0,0,9
,Toró,14,0,1,4,0,1186,14,0,3
Toivo,Xiong,0,0,0,0,0,0,0,0,0
Mostagh,Yaghoubi,6,0,1,2,0,432,5,1,1
Tobias,Vibe,8,0,0,1,0,551,6,2,7
Jaako,Lepola,0,0,0,0,0,0,0,0,0
Miika,Lindqvist,0,0,0,0,0,0,0,0,0
Sydney,Lokale,0,0,0,0,0,0,0,0,1
Tomi,Maanoja,30,0,0,3,0,2700,30,0,15
Elsaid,Maher,3,0,0,0,0,58,0,3,7
Jarkko,Lahdenmäki,0,0,0,0,0,0,0,0,0
Kevin,Larsson,21,0,1,2,0,726,5,16,26
Njazi,Kuqi,6,0,0,2,0,148,0,6,11
Tuukka,Kurki,0,0,0,0,0,0,0,0,0
Joel,Mero,2,0,0,0,0,135,1,1,1
Tomi,Mikkelsson,1,0,0,0,0,63,0,1,2
Hussein,Mohamed,2,0,0,1,0,28,0,2,6
Tuomas,Mustonen,6,0,0,0,0,106,1,5,11
Roope,Myöhänen,0,0,0,0,0,0,0,0,0
Arnold,Origi,20,0,0,1,0,1769,20,0,0
Atte,Otronen,0,0,0,0,0,0,0,0,18
Kim,Raimi,15,0,0,6,0,1130,14,1,2
Daniel,Rantanen,4,0,0,0,0,148,2,2,11
Nikolas,Saira,20,0,0,1,0,1050,11,9,25
Joonas,Salmi,0,0,0,0,0,0,0,0,0
Martti,Puolakainen,0,0,0,0,0,0,0,0,14
Jere,Piirainen,0,0,0,0,0,0,0,0,3
Hannu,Patronen,26,0,2,7,0,2035,25,1,3
Nosh,A Lody,27,0,0,4,2,2423,27,0,3
Foday,Manneh,4,0,0,0,0,80,0,4,7
Rickson,Mansiamina,8,0,0,0,0,428,6,2,5
Tero,Mäntylä,22,0,1,8,0,1934,22,0,0
Silver,Grauberg,0,0,0,0,0,0,0,0,1
Samuel,Haglund,2,0,0,0,0,9,0,2,9
Joakim,Ärilä,0,0,0,0,0,0,0,0,0
Eero-Matti,Auvinen,2,0,0,1,0,180,2,0,2
Carljohan,Eriksson,56,0,1,0,0,4977,56,0,37
John,Fagerström,4,0,0,1,0,178,1,3,6
Alexander,Albäck,0,0,0,0,0,0,0,0,0
Tuukka,Andberg,21,0,0,3,0,1481,15,6,22
Axel,Anderson,0,0,0,0,0,0,0,0,0
Ville,Anttonen,0,0,0,0,0,0,0,0,1
Otto,Brusiin,0,0,0,0,0,0,0,0,0
Fernando,Cozar Torres,2,0,0,0,0,60,1,1,1
Thais,Damgaard,2,0,0,0,0,93,1,1,6
Remi,Dujardin,0,0,0,0,0,0,0,0,0
Pasi,Forsman,0,0,0,0,0,0,0,0,0
Jaakko,Kivekäs,0,0,0,0,0,0,0,0,3
Daniel,Kollar,16,0,0,1,0,1381,15,1,11
Tommi,Jyry,3,0,0,0,0,149,1,2,8
Robert,Kakeeto,5,0,0,1,1,407,5,0,2
Jirijoonas,Kanth,0,0,0,0,0,0,0,0,0
Reza,Heidari,0,0,0,0,0,0,0,0,0
Kristian,Heinolainen,0,0,0,0,0,0,0,0,4
Macario,Hing-Glover,9,0,1,0,0,720,9,0,1
Otto,Huuhtanen,0,0,0,0,0,0,0,0,5
Eero,Hyökyvirta,0,0,0,0,0,0,0,0,1
Keaton,Isaksson,1,0,0,0,0,7,0,1,5
Abaas,Ismail,0,0,0,0,0,0,0,0,3
Mika,Johansson,13,0,0,0,0,1170,13,0,16
