FirstName,LastName,Games,Goals,Assists,YellowCards,RedCards,PlayedMinutes,StartingXI,SubstitutedIn,OnTheBench
Sakari,Tukiainen,15,4,1,2,0,1062,12,3,4
Sakari,Mattila,14,4,0,3,1,1124,13,1,2
Luis,Henrique,11,4,0,2,0,699,7,4,5
,Vitinho,12,3,1,2,0,814,10,2,3
Jabar,Sharza,14,2,0,3,0,702,7,7,10
,Tiquinho,8,1,2,3,0,554,7,1,1
Adama,Fofana,15,1,3,3,0,863,11,4,4
Jani,Bäckman,11,1,1,5,0,884,10,1,3
Mostagh,Yaghoubi,14,1,3,6,0,1152,13,1,1
Joel,Mattsson,17,1,2,2,0,1293,15,2,2
Eero-Matti,Auvinen,10,1,0,3,0,889,10,0,2
John,Fagerström,11,1,0,2,0,421,3,8,11
Sydney,Lokale,0,0,0,0,0,0,0,0,1
Matias,Hänninen,8,0,0,0,0,373,4,4,13
Tuukka,Andberg,6,0,0,0,0,540,6,0,4
Foday,Manneh,2,0,0,0,0,20,0,2,4
Jaakko,Kivekäs,0,0,0,0,0,0,0,0,4
Joel,Mero,8,0,0,3,0,591,7,1,2
Otto,Huuhtanen,1,0,0,0,0,90,1,0,13
Kevin,Larsson,8,0,0,0,0,250,2,6,7
Nikolas,Saira,1,0,0,1,0,22,0,1,3
Jukka,Halme,12,0,0,3,0,827,8,4,6
Arnold,Origi,16,0,0,3,1,1439,16,0,0
Hannu,Patronen,13,0,0,3,0,1083,13,0,2
Tino,Palmasto,1,0,0,0,0,8,0,1,6
Riku,Selander,15,0,1,4,0,1129,12,3,5
